#,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
0,-0.133351611,0.041590778,-0.587384853,0.621822909,0.021758876,-0.480643767,-0.643718847,-0.561679377,0.553572625,-0.617177969,1.135438059,-0.729204486,-0.773282489,-0.620201954,2.23174831,-0.850118251
1,0.06485214,-1.579882041,0.820152006,-0.929402471,-0.387395475,-1.068420833,-0.08078045,-1.181105467,-0.317123279,1.222867095,-0.81339491,-1.224081344,-0.11830328,-1.215071342,-0.752124437,0.979306914
2,-0.852331206,1.257695392,-0.706255528,-0.395701134,-0.731946508,-0.841335878,0.317928811,-0.830891485,1.503422702,0.382414079,-0.953311123,-0.710634998,-1.100772093,-0.873282351,1.180288389,-1.359131865
3,-0.624296039,1.906284519,-0.51714309,1.130584931,-0.468747802,-0.825284135,0.507280817,-0.804684997,1.820039395,0.228248141,0.995521846,-0.952966818,0.569424889,-0.815882673,0.484051415,-1.192820486
4,-0.892619542,1.257695392,-0.133515002,0.941046138,-0.710412068,-0.315405234,-1.043358584,-0.366321918,-0.000506587,0.655934291,0.790644534,-0.457161485,0.789310766,-0.424521234,1.848107528,-1.021469369
5,0.368527464,-0.039482863,-0.871053509,2.103218208,0.01458073,0.036316786,-0.552532131,-0.142375563,-0.633739972,-0.557500832,-1.183173473,-0.081129351,0.831416572,-0.114041158,-0.638453095,0.545889382
6,0.851191285,-0.850219272,-0.916980816,-0.734875816,-0.669735905,0.144902107,-0.543692603,-0.070903322,0.474418452,-1.278599573,-0.123807859,-0.266824232,-1.166270014,-0.038377946,-0.676343542,0.566048337
7,0.835691688,0.446958982,-0.722465165,-0.999232552,-0.497460388,0.783194954,0.766418574,0.424637549,-1.029510837,0.611176438,0.615749267,0.763782358,-0.735855106,0.533009756,0.772966078,-1.112184666
8,-0.300503087,0.446958982,0.663458843,0.906131098,2.708778389,-0.790820098,-0.107299036,-0.757036836,1.345114356,-1.13935292,0.031099377,-0.759844141,-0.777960912,-0.745437614,-0.808960109,0.702121283
9,0.743702641,0.446958982,-0.579280034,-0.280980286,1.921574987,-0.378667987,0.529147019,-0.533090481,0.474418452,0.89464284,-0.16378392,-0.550008926,-0.834101987,-0.479311835,-0.785278579,0.722280238
10,-0.695955134,-1.012366554,0.471644799,-1.617727559,0.438091374,-0.04205349,-0.338522493,0.100630057,1.18680601,-1.149299109,-1.213155519,0.005218769,1.299258864,0.191220765,-0.771069661,0.616445724
11,-0.614263765,-0.931292913,-0.32262744,0.641774361,-0.552492845,-0.265833674,-0.336661539,-0.313908942,-0.950356664,-0.776317002,0.760662488,-0.410737765,-0.791996181,-0.416694005,0.569304922,0.157829498
12,-1.05138425,-0.60699835,-0.160531065,-1.418213041,-0.15051664,-0.609057712,-0.328287249,-0.611709946,1.661731048,0.725557618,0.775653511,-0.563007567,-0.908956754,-0.570629505,0.540887087,-0.109276655
13,1.342560359,-0.444851068,-0.036257177,-1.323443645,0.021758876,0.620789081,-0.37295013,0.295987515,-0.396277452,0.889669745,0.650728321,0.384036326,-0.880886216,0.303411044,-0.913158839,0.878512139
14,-0.8506857,-0.039482863,-0.887263147,0.891167509,-1.047784955,-0.377723766,-0.673959339,-0.385381183,-0.712894145,-0.811128665,0.565779191,0.229909575,-1.06334471,-0.372339708,0.521941863,0.006637336
15,-1.569452972,-1.093440195,-0.800811747,-1.557873204,-0.643416034,-1.196834779,-0.365041078,-1.216841587,0.395264279,-2.208568294,-1.058248283,-1.19994101,1.659497429,-1.212462266,-0.700025072,0.661803373
16,0.927203007,0.365885341,-0.744078015,-0.23608952,0.201212539,0.245933667,-0.335731063,-0.08519777,-1.900206741,0.969239262,1.170417112,-0.083914774,0.569424889,-0.085341319,1.199233613,-0.890436161
17,-0.080164638,-1.174513836,-0.757586047,0.512089924,0.718039088,0.489542475,1.330752686,1.025004374,1.424268529,0.939400693,0.830620595,0.019145885,1.654819006,1.010470712,-0.728442908,0.581167553
18,-1.382236949,-0.525924709,-1.219560716,-0.630130694,0.351953616,-1.117048173,0.748739517,-1.092956369,1.820039395,-1.218922436,0.560782184,-0.948324446,-0.445792885,-1.082008452,1.042935517,-1.369211342
19,0.364280999,-0.282703786,-1.276294447,0.87620392,0.507480124,0.690189265,-0.80283036,0.572346848,0.157801759,-0.980213887,-0.14379589,1.046038578,1.238439366,0.621718349,0.986099846,-1.470006117
20,0.903794369,-0.769145631,0.363580549,0.666713676,-0.999930644,0.331857704,-0.13986572,-0.082815362,-0.950356664,0.775288566,-1.348074725,0.095280786,-0.151052241,-0.004459955,-0.88947731,0.823075013
21,0.568270558,0.609106264,0.250113086,1.235330053,0.277779435,-0.375363216,0.142533955,-0.533090481,0.553572625,-1.189083867,0.855605633,-0.48130182,-0.623572956,-0.534102437,-0.837377944,0.727319977
22,0.199730482,-1.093440195,-0.84133584,1.245305779,-0.43285707,1.137277524,0.836204326,0.820117283,-0.317123279,-1.13935292,1.235378211,0.535377655,-0.689070877,0.882625975,1.265541897,-1.45992664
23,1.183477166,-1.255587477,-0.436094902,0.616835046,-0.303650432,-0.303130372,-0.077523782,-0.404440447,0.395264279,0.611176438,0.695701389,-0.533296386,-0.80603145,-0.403648624,-0.813696415,0.586207292
24,0.280041751,1.09554811,0.101524742,0.801385975,-0.583598147,-0.481115877,1.987203989,-0.621239578,1.820039395,-1.189083867,0.685707374,-0.719919742,0.798667612,-0.591502115,1.014517681,-1.45992664
25,0.63706329,-0.850219272,1.371279681,-0.216138068,0.390237064,-0.640689088,0.186731598,-0.48544232,0.236955933,-1.930074988,0.570776199,-0.717134319,-0.684392454,-0.432348462,-0.884741004,0.727319977
26,-1.278729366,-1.093440195,-0.857545478,0.477174883,0.186856246,0.287007245,0.01459341,0.960679357,-1.900206741,-0.472958221,0.905575709,1.733109638,-0.16508751,0.924371195,-1.443625106,1.256492545
27,-0.440795672,0.20373806,1.144344756,-1.238649974,-0.215119959,-1.128850925,-0.379463467,-1.188252691,1.820039395,0.576364775,-0.863364986,-1.204583382,-1.334693239,-1.186371503,1.729699879,-1.273456306
28,-1.429001144,1.906284519,-1.081778797,-1.288528604,1.311432534,-0.153943582,0.027620084,0.176867114,-1.346127529,0.621122628,0.186006613,-0.462732332,-1.264516896,0.105121248,1.393422157,-1.641357235
29,0.494700553,-0.363777427,0.57160423,-1.148868441,-0.796549827,-0.44665184,-0.634879318,-0.621239578,-0.237969106,0.735503807,0.950548777,-0.433021151,-0.656321916,-0.578456733,0.872428503,-1.187780747
